RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
CAMEL-3,apachejit_Camel,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CAMEL-13,apachejit_Camel,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CAMEL-47,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.2241,0.2241,0.0000,0.0000,0.0000,0.0000,0.0078,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1786,0.1786,0.0000,0.0000,0.0000,0.0000,0.0018,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CAMEL-55,apachejit_Camel,1.0,1.0000,1.0000,0.2500,0.2500,0.5714,0.5714,0.0000,0.0000,0.2000,0.2000,0.0067,0.0067,0.4082,0.4082,0.4000,0.4000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.0222,0.0222,0.2134,0.2134,0.0000,0.0000,0.0217,0.0217,0.0018,0.0018,0.0436,0.0436,0.0435,0.0435,0.0476,0.0476,0.0000,0.0000
CAMEL-52,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.2162,0.1622,0.0000,0.0000,0.0000,0.0000,0.0096,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5077,0.2538,0.0215,0.0108,0.1379,0.1186,0.0000,0.0000,0.0211,0.0105,0.0017,0.0016,0.2006,0.1003,0.0421,0.0211,0.0800,0.0400,0.0000,0.0000
CAMEL-51,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.1250,0.1055,0.0000,0.0000,0.0000,0.0000,0.0072,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2294,0.2036,0.0000,0.0000,0.0000,0.0000,0.0025,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CAMEL-56,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.1351,0.1216,0.0000,0.0000,0.0000,0.0000,0.0065,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, , , , , , , , , , , , , , , , , , , , 
CAMEL-54,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.2857,0.2143,0.0000,0.0000,0.0000,0.0000,0.0064,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8536,0.0357,0.0261,0.2322,0.1948,0.0000,0.0000,0.0345,0.0253,0.0019,0.0017,0.0690,0.0503,0.0690,0.0506,0.0952,0.0676,0.0000,0.0000
CAMEL-59,apachejit_Camel,1.0,0.0000,0.0000,0.0000,0.0000,0.1839,0.1609,0.0000,0.0000,0.0000,0.0000,0.0078,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, , , , , , , , , , , , , , , , , , , , 
CAMEL-53,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.1786,0.1727,0.0000,0.0000,0.0000,0.0000,0.0059,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2116,0.1365,0.0000,0.0000,0.0000,0.0000,1.0000,0.3344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CAMEL-63,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.1863,0.1438,0.0000,0.0000,0.0000,0.0000,0.0077,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, , , , , , , , , , , , , , , , , , , , 
CAMEL-7,apachejit_Camel,0.0,0.0000,0.0000,0.0000,0.0000,0.2449,0.2089,0.0000,0.0000,0.0000,0.0000,0.0065,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1779,0.1103,0.0000,0.0000,0.0000,0.0000,1.0000,0.3346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
