RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
CASSANDRA-9,apachejit_Cassandra,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CASSANDRA-65,apachejit_Cassandra,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CASSANDRA-37,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2286,0.2286,0.0000,0.0000,0.0000,0.0000,0.0049,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0313,0.0313,0.0000,0.0000,0.0000,0.0000,0.0303,0.0303,1.0000,1.0000,0.2649,0.2649,0.0606,0.0606,1.0000,1.0000,0.0000,0.0000
CASSANDRA-113,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.3429,0.3429,0.0000,0.0000,0.0000,0.0000,0.0052,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-102,apachejit_Cassandra,1.0,0.0000,0.0000,0.0000,0.0000,0.1714,0.1714,0.0000,0.0000,0.0000,0.0000,0.0071,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-114,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2571,0.1968,0.0000,0.0000,0.0000,0.0000,0.0086,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5063,0.0345,0.0308,0.0459,0.0229,0.0000,0.0000,0.0333,0.0298,1.0000,0.5019,0.9927,0.4993,0.0667,0.0596,1.0000,0.5556,0.0000,0.0000
CASSANDRA-71,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.1714,0.1647,0.0000,0.0000,0.0000,0.0000,0.0070,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2264,0.1132,0.0000,0.0000,0.0000,0.0000,1.0000,0.5017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-126,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.1667,0.1444,0.0000,0.0000,0.0000,0.0000,0.0078,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2077,0.1176,0.0000,0.0000,0.0000,0.0000,1.0000,0.3352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-118,apachejit_Cassandra,1.0,0.0000,0.0000,0.0000,0.0000,0.2051,0.1538,0.0000,0.0000,0.0000,0.0000,0.0067,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1497,0.0749,0.0000,0.0000,0.0000,0.0000,1.0000,0.5016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-34,apachejit_Cassandra,1.0,0.0000,0.0000,0.0000,0.0000,0.1852,0.1787,0.0000,0.0000,0.0000,0.0000,0.0316,0.0138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2190,0.1206,0.0000,0.0000,0.0000,0.0000,1.0000,0.3350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-124,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2667,0.2042,0.0000,0.0000,0.0000,0.0000,0.0107,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2500,0.0185,0.0046,0.0781,0.0424,0.0000,0.0000,0.0182,0.0045,1.0000,0.2517,0.9980,0.2495,0.0364,0.0091,1.0000,0.2500,0.0000,0.0000
CASSANDRA-78,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2453,0.1934,0.0000,0.0000,0.0000,0.0000,0.0080,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3207,0.0217,0.0091,0.2137,0.1138,0.0000,0.0000,0.0213,0.0089,1.0000,0.2518,0.0880,0.0292,0.0426,0.0179,1.0000,0.2692,0.0000,0.0000
CASSANDRA-120,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2222,0.1852,0.0000,0.0000,0.0000,0.0000,0.0088,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1553,0.0884,0.0000,0.0000,0.0000,0.0000,1.0000,0.2516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CASSANDRA-130,apachejit_Cassandra,0.0,0.0000,0.0000,0.0000,0.0000,0.2571,0.1979,0.0000,0.0000,0.0000,0.0000,0.0081,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5518,0.0769,0.0336,0.2335,0.1677,0.0000,0.0000,0.0714,0.0318,1.0000,0.2524,0.2774,0.0962,0.1429,0.0637,1.0000,0.2885,0.0000,0.0000
