RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
HBASE-415,apachejit_HBase,1.0,0.0000,0.0000,0.0000,0.0000,0.1892,0.1892,0.0000,0.0000,0.0000,0.0000,0.0056,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1389,0.1389,0.0000,0.0000,0.0000,0.0000,0.0025,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-35,apachejit_HBase,0.0,1.0000,0.5000,0.0833,0.0417,0.2297,0.2149,0.0000,0.0000,0.0769,0.0385,0.0053,0.0052,0.1581,0.0791,0.1538,0.0769,0.2000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1310,0.1277,0.0000,0.0000,0.0000,0.0000,0.0026,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-19,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.1892,0.1764,0.0000,0.0000,0.0000,0.0000,0.0059,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5000,0.0208,0.0104,0.1655,0.1643,0.0000,0.0000,0.0204,0.0102,0.0026,0.0026,0.0404,0.0202,0.0408,0.0204,0.0833,0.0417,0.0000,0.0000
HBASE-28,apachejit_HBase,1.0,0.0000,0.0000,0.0000,0.0000,0.1892,0.1892,0.0000,0.0000,0.0000,0.0000,0.0056,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1389,0.1389,0.0000,0.0000,0.0000,0.0000,0.0025,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-56,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.1892,0.1764,0.0000,0.0000,0.0000,0.0000,0.0040,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1296,0.1279,0.0000,0.0000,0.0000,0.0000,0.0025,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-421,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.1860,0.1751,0.0000,0.0000,0.0000,0.0000,0.0086,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3333,0.0068,0.0023,0.0234,0.0152,0.0000,0.0000,0.0068,0.0023,1.0000,0.3349,0.9100,0.3033,0.0135,0.0045,1.0000,0.3333,0.0000,0.0000
HBASE-406,apachejit_HBase,0.0,1.0000,0.3333,0.0833,0.0278,0.2558,0.2467,0.0000,0.0000,0.0769,0.0256,0.0050,0.0046,0.1581,0.0527,0.1538,0.0513,0.2000,0.0667,0.0000,0.0000,1.0000,0.3333,0.0135,0.0045,0.1434,0.0910,0.0000,0.0000,0.0133,0.0044,1.0000,0.3350,0.0346,0.0115,0.0267,0.0089,0.0909,0.0303,0.0000,0.0000
HBASE-418,apachejit_HBase,1.0,0.0000,0.0000,0.0000,0.0000,0.3273,0.2650,0.0000,0.0000,0.0000,0.0000,0.0042,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000, , , , , , , , , , , , , , , , , , , , 
HBASE-437,apachejit_HBase,0.0,1.0000,0.3333,0.1111,0.0370,0.2791,0.2259,0.0000,0.0000,0.1000,0.0333,0.0049,0.0047,0.2041,0.0680,0.2000,0.0667,0.2500,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2621,0.1522,0.0000,0.0000,0.0000,0.0000,1.0000,0.3359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-440,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.2459,0.2051,0.0000,0.0000,0.0000,0.0000,0.0043,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.1626,0.0000,0.0000,0.0000,0.0000,1.0000,0.3351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-43,apachejit_HBase,0.0,1.0000,0.3333,0.0833,0.0278,0.3091,0.2596,0.0000,0.0000,0.0769,0.0256,0.0048,0.0043,0.1581,0.0527,0.1538,0.0513,0.2000,0.0667,0.0000,0.0000,1.0000,0.3333,0.0588,0.0196,0.2295,0.1284,0.0000,0.0000,0.0556,0.0185,1.0000,0.3351,0.2425,0.0808,0.1111,0.0370,1.0000,0.3333,0.0000,0.0000
HBASE-407,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.2326,0.2133,0.0000,0.0000,0.0000,0.0000,0.0044,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1628,0.0543,0.0000,0.0000,0.0000,0.0000,0.2273,0.1303,0.0000,0.0000,0.0000,0.0000,1.0000,0.3351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HBASE-444,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.2727,0.2508,0.0000,0.0000,0.0000,0.0000,0.0047,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3333,0.0500,0.0167,0.2409,0.1557,0.0000,0.0000,0.0476,0.0159,1.0000,0.3349,0.2085,0.0695,0.0952,0.0317,1.0000,0.3333,0.0000,0.0000
HBASE-446,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.2182,0.1778,0.0000,0.0000,0.0000,0.0000,0.0045,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.5258,0.0426,0.0230,0.1890,0.1192,0.0000,0.0000,0.0408,0.0222,1.0000,0.3350,0.2540,0.1102,0.0816,0.0443,1.0000,0.3939,0.0000,0.0000
HBASE-8,apachejit_HBase,0.0,1.0000,0.3333,0.0714,0.0238,0.2973,0.2203,0.0000,0.0000,0.0667,0.0222,0.0047,0.0044,0.1118,0.0373,0.1333,0.0444,0.1429,0.0476,0.0000,0.0000,1.0000,0.3333,0.0128,0.0043,0.0202,0.0131,0.0000,0.0000,0.0127,0.0042,1.0000,0.3349,0.9980,0.3327,0.0253,0.0084,1.0000,0.3333,0.0000,0.0000
HBASE-428,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.2027,0.1954,0.0000,0.0000,0.0000,0.0000,0.0043,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3333,0.0057,0.0019,0.0186,0.0120,0.0000,0.0000,0.0057,0.0019,1.0000,0.3348,0.9733,0.3244,0.0114,0.0038,1.0000,0.3333,0.0000,0.0000
HBASE-79,apachejit_HBase,0.0,0.7071,0.2357,0.0625,0.0208,0.3226,0.2693,0.0000,0.0000,0.0588,0.0196,0.0042,0.0038,0.1179,0.0393,0.1176,0.0392,0.1250,0.0417,0.0000,0.0000,0.5000,0.1667,0.0143,0.0048,0.1353,0.0902,0.0000,0.0000,0.0141,0.0047,1.0000,0.3351,0.0348,0.0116,0.0282,0.0094,0.0909,0.0303,0.0000,0.0000
HBASE-461,apachejit_HBase,1.0,1.0000,0.2500,0.1429,0.0357,0.1628,0.1245,0.0000,0.0000,0.1250,0.0313,0.0074,0.0068,0.2887,0.0722,0.2500,0.0625,0.5000,0.1250,0.0000,0.0000,0.9487,0.2372,0.0769,0.0192,0.3094,0.1764,0.0000,0.0000,0.0714,0.0179,1.0000,0.2518,0.1846,0.0462,0.1429,0.0357,0.1667,0.0417,0.0000,0.0000
HBASE-462,apachejit_HBase,0.0,0.0000,0.0000,0.0000,0.0000,0.1818,0.1469,0.0000,0.0000,0.0000,0.0000,0.0094,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2632,0.0714,0.0190,0.2680,0.1734,0.0000,0.0000,0.0667,0.0180,1.0000,0.2019,0.1111,0.0328,0.1333,0.0360,0.1667,0.0556,0.0000,0.0000
HBASE-457,apachejit_HBase,1.0,0.0000,0.0000,0.0000,0.0000,0.3200,0.2045,0.0000,0.0000,0.0000,0.0000,0.0074,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.1250,0.0127,0.0032,0.1661,0.1001,0.0000,0.0000,0.0125,0.0031,1.0000,0.2518,0.0264,0.0066,0.0250,0.0063,0.0833,0.0208,0.0000,0.0000
HBASE-419,apachejit_HBase,0.0,1.0000,0.2000,0.5000,0.1000,0.6481,0.2925,0.0000,0.0000,0.3333,0.0667,0.0087,0.0050,0.6667,0.1333,0.6667,0.1333,0.6667,0.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2045,0.1356,0.0000,0.0000,0.0000,0.0000,1.0000,0.2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
