RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
HIVE-62,apachejit_Hive,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
HIVE-70,apachejit_Hive,0.0,0.0000,0.0000,0.0000,0.0000,0.2545,0.2545,0.0000,0.0000,0.0000,0.0000,0.0047,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1587,0.1587,0.0000,0.0000,0.0000,0.0000,0.0049,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HIVE-76,apachejit_Hive,1.0,0.0000,0.0000,0.0000,0.0000,0.2174,0.2174,0.0000,0.0000,0.0000,0.0000,0.0045,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1633,0.1633,0.0000,0.0000,0.0000,0.0000,0.0043,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HIVE-77,apachejit_Hive,1.0,1.0000,0.5000,0.0667,0.0333,0.2121,0.2039,0.0000,0.0000,0.0625,0.0313,0.0062,0.0060,0.1443,0.0722,0.1250,0.0625,0.2500,0.1250,0.0000,0.0000,1.0000,0.5000,0.0213,0.0106,0.2544,0.1842,0.0000,0.0000,0.0208,0.0104,0.0040,0.0030,0.0410,0.0205,0.0417,0.0208,0.0556,0.0278,0.0000,0.0000
HIVE-102,apachejit_Hive,1.0,0.0000,0.0000,0.0000,0.0000,0.1481,0.1227,0.0000,0.0000,0.0000,0.0000,0.0094,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2585,0.2207,0.0000,0.0000,0.0000,0.0000,0.0042,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HIVE-90,apachejit_Hive,0.0,0.0000,0.0000,0.0000,0.0000,0.2444,0.1970,0.0000,0.0000,0.0000,0.0000,0.0099,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7071,0.1414,0.0250,0.0050,0.2248,0.1853,0.0000,0.0000,0.0244,0.0049,0.0042,0.0027,0.0491,0.0098,0.0488,0.0098,0.0556,0.0111,0.0000,0.0000
HIVE-98,apachejit_Hive,1.0,0.0000,0.0000,0.0000,0.0000,0.2283,0.1917,0.0000,0.0000,0.0000,0.0000,0.0094,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2544,0.2227,0.0000,0.0000,0.0000,0.0000,0.0040,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HIVE-127,apachejit_Hive,0.0,0.0000,0.0000,0.0000,0.0000,0.2500,0.2185,0.0000,0.0000,0.0000,0.0000,0.0061,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2000,0.0303,0.0061,0.2483,0.2058,0.0000,0.0000,0.0294,0.0059,0.0040,0.0026,0.0821,0.0164,0.0588,0.0118,0.0625,0.0125,0.0000,0.0000
HIVE-93,apachejit_Hive,0.0,0.0000,0.0000,0.0000,0.0000,0.2391,0.1883,0.0000,0.0000,0.0000,0.0000,0.0065,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2581,0.2177,0.0000,0.0000,0.0000,0.0000,0.0043,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
HIVE-140,apachejit_Hive,0.0,0.0000,0.0000,0.0000,0.0000,0.2292,0.2106,0.0000,0.0000,0.0000,0.0000,0.0067,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8165,0.1633,0.0444,0.0089,0.2774,0.2117,0.0000,0.0000,0.0426,0.0085,0.0042,0.0026,0.0745,0.0149,0.0851,0.0170,0.1111,0.0222,0.0000,0.0000
