RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
ZOOKEEPER-45,apachejit_ZooKeeper,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-53,apachejit_ZooKeeper,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-68,apachejit_ZooKeeper,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-75,apachejit_ZooKeeper,0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-97,apachejit_ZooKeeper,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-105,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2143,0.2143,0.0000,0.0000,0.0000,0.0000,0.0041,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0294,0.0294,0.2198,0.2198,0.0000,0.0000,0.0286,0.0286,0.0036,0.0036,0.0598,0.0598,0.0571,0.0571,0.1000,0.1000,0.0000,0.0000
ZOOKEEPER-48,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.0000,0.0000,0.0000,0.0039,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0816,0.0816,0.0000,0.0000,0.0000,0.0000,0.1694,0.1694,0.0000,0.0000,0.0000,0.0000,0.0019,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-42,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2041,0.1837,0.0000,0.0000,0.0000,0.0000,0.0051,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1758,0.1590,0.0000,0.0000,0.0000,0.0000,0.0024,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-44,apachejit_ZooKeeper,1.0,0.7071,0.3536,0.0769,0.0385,0.2653,0.2551,0.0000,0.0000,0.0714,0.0357,0.0041,0.0041,0.1443,0.0722,0.1429,0.0714,0.1667,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2253,0.2083,0.0000,0.0000,0.0000,0.0000,0.0021,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-108,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2041,0.1699,0.0000,0.0000,0.0000,0.0000,0.0052,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.1925,0.0222,0.0074,0.2363,0.2094,0.0000,0.0000,0.0217,0.0072,0.0021,0.0020,0.0412,0.0137,0.0435,0.0145,0.0476,0.0159,0.0000,0.0000
ZOOKEEPER-82,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.2195,0.1614,0.0000,0.0000,0.0000,0.0000,0.0073,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7071,0.4900,0.0303,0.0187,0.2103,0.1840,0.0000,0.0000,0.0294,0.0183,0.0022,0.0017,0.0557,0.0350,0.0588,0.0366,0.0800,0.0544,0.0000,0.0000
ZOOKEEPER-111,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.2449,0.1706,0.0000,0.0000,0.0000,0.0000,0.0053,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2673,0.0668,0.0111,0.0028,0.2468,0.2235,0.0000,0.0000,0.0110,0.0027,0.0019,0.0016,0.0179,0.0045,0.0220,0.0055,0.0233,0.0058,0.0000,0.0000
ZOOKEEPER-122,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2439,0.1626,0.0000,0.0000,0.0000,0.0000,0.0057,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.3414,0.0294,0.0097,0.1888,0.1488,0.0000,0.0000,0.0286,0.0095,0.0019,0.0015,0.1887,0.0672,0.0571,0.0190,0.1000,0.0400,0.0000,0.0000
ZOOKEEPER-123,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2000,0.1580,0.0000,0.0000,0.0000,0.0000,0.0049,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8944,0.2453,0.0263,0.0074,0.2295,0.1966,0.0000,0.0000,0.0256,0.0072,0.0026,0.0023,0.0917,0.0272,0.0513,0.0144,0.0714,0.0238,0.0000,0.0000
ZOOKEEPER-2,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.2264,0.1962,0.0000,0.0000,0.0000,0.0000,0.0062,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.2411,0.0323,0.0136,0.2462,0.2117,0.0000,0.0000,0.0313,0.0133,0.0019,0.0016,0.0976,0.0327,0.0625,0.0266,0.0800,0.0314,0.0000,0.0000
ZOOKEEPER-125,apachejit_ZooKeeper,0.0,1.0000,0.2439,0.1111,0.0289,0.4528,0.2516,0.0000,0.0000,0.1000,0.0262,0.0049,0.0047,0.2041,0.0544,0.2000,0.0524,0.2500,0.0714,0.0000,0.0000,1.0000,0.3444,0.0303,0.0123,0.2363,0.2098,0.0000,0.0000,0.0294,0.0120,0.0022,0.0021,0.0534,0.0236,0.0588,0.0240,0.0769,0.0440,0.0000,0.0000
ZOOKEEPER-63,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.3208,0.2292,0.0000,0.0000,0.0000,0.0000,0.0055,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.3344,0.0247,0.0129,0.2421,0.2214,0.0000,0.0000,0.0241,0.0126,0.0020,0.0016,0.0770,0.0264,0.0482,0.0252,0.0513,0.0307,0.0000,0.0000
ZOOKEEPER-134,apachejit_ZooKeeper,1.0,1.0000,0.1429,0.2000,0.0286,0.2941,0.1508,0.0000,0.0000,0.1667,0.0238,0.0123,0.0089,0.3536,0.0505,0.3333,0.0476,0.5000,0.0714,0.0000,0.0000,0.7500,0.3731,0.0448,0.0153,0.2262,0.1906,0.0000,0.0000,0.0429,0.0148,0.0019,0.0018,0.0776,0.0306,0.0857,0.0297,0.1364,0.0393,0.0000,0.0000
ZOOKEEPER-133,apachejit_ZooKeeper,0.0,1.0000,0.1250,0.1429,0.0179,0.2653,0.1967,0.0000,0.0000,0.1250,0.0156,0.0079,0.0052,0.2500,0.0313,0.2500,0.0313,0.2500,0.0313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2207,0.1653,0.0000,0.0000,0.0000,0.0000,0.0027,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-128,apachejit_ZooKeeper,0.0,0.7071,0.0884,0.0909,0.0114,0.3077,0.2160,0.0000,0.0000,0.0833,0.0104,0.0076,0.0048,0.1690,0.0211,0.1667,0.0208,0.2000,0.0250,0.0000,0.0000,0.8660,0.3373,0.0714,0.0184,0.2967,0.2057,0.0000,0.0000,0.0667,0.0175,0.0027,0.0026,0.1750,0.0503,0.1333,0.0350,0.3333,0.0833,0.0000,0.0000
ZOOKEEPER-112,apachejit_ZooKeeper,0.0,1.0000,0.1250,0.0909,0.0114,0.3333,0.1804,0.0000,0.0000,0.0833,0.0104,0.0092,0.0049,0.1667,0.0208,0.1667,0.0208,0.1667,0.0208,0.0000,0.0000,0.8839,0.4501,0.0580,0.0251,0.2885,0.2384,0.0000,0.0000,0.0548,0.0240,0.0021,0.0017,0.1967,0.0615,0.1096,0.0481,0.1379,0.0591,0.0000,0.0000
ZOOKEEPER-132,apachejit_ZooKeeper,1.0,0.0000,0.0000,0.0000,0.0000,0.2407,0.1782,0.0000,0.0000,0.0000,0.0000,0.0069,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5774,0.1347,0.0294,0.0061,0.2308,0.1746,0.0000,0.0000,0.0286,0.0059,0.0031,0.0030,0.0598,0.0133,0.0571,0.0119,0.1000,0.0250,0.0000,0.0000
ZOOKEEPER-130,apachejit_ZooKeeper,1.0,1.0000,0.1111,0.0909,0.0101,0.2857,0.1925,0.0000,0.0000,0.0833,0.0093,0.0078,0.0046,0.1667,0.0185,0.1667,0.0185,0.1667,0.0185,0.0000,0.0000,0.7071,0.0786,0.0175,0.0019,0.2437,0.1988,0.0000,0.0000,0.0172,0.0019,0.0027,0.0022,0.0381,0.0042,0.0345,0.0038,0.0667,0.0074,0.0000,0.0000
ZOOKEEPER-131,apachejit_ZooKeeper,1.0,0.7071,0.0707,0.1111,0.0111,0.2857,0.2222,0.0000,0.0000,0.1000,0.0100,0.0076,0.0049,0.1581,0.0158,0.2000,0.0200,0.2000,0.0200,0.0000,0.0000,0.7071,0.2531,0.0533,0.0140,0.2445,0.2103,0.0000,0.0000,0.0506,0.0134,0.0030,0.0017,0.0862,0.0224,0.1013,0.0268,0.1143,0.0322,0.0000,0.0000
ZOOKEEPER-137,apachejit_ZooKeeper,1.0,0.7071,0.0589,0.1111,0.0093,0.3265,0.2254,0.0000,0.0000,0.1000,0.0083,0.0076,0.0050,0.2000,0.0167,0.2000,0.0167,0.2000,0.0167,0.1176,0.0098,1.0000,0.2708,0.0238,0.0075,0.2335,0.2071,0.0000,0.0000,0.0233,0.0074,0.0029,0.0016,0.0412,0.0141,0.0465,0.0148,0.1000,0.0233,0.0000,0.0000
ZOOKEEPER-117,apachejit_ZooKeeper,1.0,0.8165,0.1270,0.2857,0.0342,0.5094,0.2373,0.0000,0.0000,0.2222,0.0278,0.0095,0.0054,0.4472,0.0520,0.4444,0.0556,0.5000,0.0625,0.0938,0.0078,1.0000,0.2916,0.0385,0.0104,0.2621,0.2132,0.0000,0.0000,0.0370,0.0101,0.0027,0.0020,0.0725,0.0215,0.0741,0.0203,0.1053,0.0303,0.0690,0.0057
ZOOKEEPER-142,apachejit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2456,0.1955,0.0000,0.0000,0.0000,0.0000,0.0077,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7071,0.0505,0.0323,0.0023,0.2877,0.1366,0.0000,0.0000,0.0313,0.0022,1.0000,0.0748,0.0714,0.0051,0.0625,0.0045,0.1429,0.0102,0.0000,0.0000
