RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text
HIVE-62,HIVE,1.0, , , , , , , , , , , , 
HIVE-70,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0047,0.0047,0.0000,0.0000,0.0000,0.0000,0.0049,0.0049
HIVE-76,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0045,0.0045,0.0000,0.0000,0.0000,0.0000,0.0043,0.0043
HIVE-77,HIVE,1.0,1.0000,0.5000,0.0667,0.0333,0.0062,0.0060,1.0000,0.5000,0.0213,0.0106,0.0040,0.0030
HIVE-102,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0075,0.0072,0.0000,0.0000,0.0000,0.0000,0.0042,0.0031
HIVE-127,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0061,0.0046,0.0000,0.0000,0.0000,0.0000,0.0040,0.0026
HIVE-90,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0099,0.0059,0.7071,0.1768,0.0250,0.0063,0.0042,0.0027
HIVE-93,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0065,0.0050,0.0000,0.0000,0.0000,0.0000,0.0043,0.0034
HIVE-98,HIVE,1.0,0.0000,0.0000,0.0000,0.0000,0.0094,0.0059,0.0000,0.0000,0.0000,0.0000,0.0040,0.0028
HIVE-103,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0065,0.0052,0.3162,0.0632,0.0208,0.0042,0.0040,0.0025
HIVE-140,HIVE,0.0,0.0000,0.0000,0.0000,0.0000,0.0067,0.0054,0.8165,0.1633,0.0444,0.0089,0.0042,0.0026
