RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text
HBASE-82,HBASE,1.0, , , , , , , , , , , , 
HBASE-7,HBASE,1.0,1.0000,1.0000,0.0833,0.0833,0.0043,0.0043,0.9428,0.9428,0.0366,0.0366,0.0035,0.0035
HBASE-23,HBASE,1.0,1.0000,1.0000,0.1000,0.0727,0.0040,0.0039,0.2582,0.1291,0.0094,0.0047,0.0034,0.0025
HBASE-12,HBASE,1.0,0.0000,0.0000,0.0000,0.0000,0.0037,0.0035,0.6324,0.2134,0.0169,0.0088,0.0035,0.0019
HBASE-19,HBASE,0.0,0.0000,0.0000,0.0000,0.0000,0.0050,0.0048,0.9045,0.2261,0.0088,0.0022,0.0039,0.0020
HBASE-56,HBASE,0.0,0.0000,0.0000,0.0000,0.0000,0.0043,0.0041,1.0000,0.5000,0.0270,0.0135,0.0032,0.0025
HBASE-35,HBASE,0.0,1.0000,0.7500,0.0909,0.0555,0.0048,0.0042,0.4082,0.1985,0.0227,0.0095,0.0032,0.0017
HBASE-28,HBASE,1.0,1.0000,0.6036,0.0769,0.0480,0.0041,0.0037,0.0000,0.0000,0.0000,0.0000,0.0034,0.0027
HBASE-406,HBASE,0.0,1.0000,0.2000,0.0833,0.0167,0.0047,0.0044,1.0000,0.6091,0.0217,0.0120,0.0035,0.0020
HBASE-27,HBASE,1.0,1.0000,0.7414,0.0909,0.0598,0.0045,0.0043,1.0000,0.3265,0.0135,0.0054,0.0034,0.0017
HBASE-415,HBASE,1.0,0.0000,0.0000,0.0000,0.0000,0.0056,0.0044,1.0000,0.1667,0.0114,0.0019,0.0039,0.0027
HBASE-420,HBASE,1.0,0.7071,0.1010,0.0500,0.0071,0.0053,0.0045,1.0000,0.3235,0.0345,0.0126,0.0034,0.0018
HBASE-418,HBASE,1.0,0.0000,0.0000,0.0000,0.0000,0.0046,0.0042, , , , , , 
