RequirementID,ProjectName,Buggy,MaxSimilarity_TF-IDF_Cosine_Title,AvgSimilarity_TF-IDF_Cosine_Title,MaxSimilarity_Jaccard_Title,AvgSimilarity_Jaccard_Title,MaxSimilarity_Levenshtein_Title,AvgSimilarity_Levenshtein_Title,MaxSimilarity_ExactMatch_Title,AvgSimilarity_ExactMatch_Title,MaxSimilarity_CommonTokenOverlap_Title,AvgSimilarity_CommonTokenOverlap_Title,MaxSimilarity_EuclideanDistance_Title,AvgSimilarity_EuclideanDistance_Title,MaxSimilarity_BagOfWords_Cosine_Title,AvgSimilarity_BagOfWords_Cosine_Title,MaxSimilarity_DiceCoefficient_Title,AvgSimilarity_DiceCoefficient_Title,MaxSimilarity_OverlapCoefficient_Title,AvgSimilarity_OverlapCoefficient_Title,MaxSimilarity_Hamming_Title,AvgSimilarity_Hamming_Title,MaxSimilarity_TF-IDF_Cosine_Text,AvgSimilarity_TF-IDF_Cosine_Text,MaxSimilarity_Jaccard_Text,AvgSimilarity_Jaccard_Text,MaxSimilarity_Levenshtein_Text,AvgSimilarity_Levenshtein_Text,MaxSimilarity_ExactMatch_Text,AvgSimilarity_ExactMatch_Text,MaxSimilarity_CommonTokenOverlap_Text,AvgSimilarity_CommonTokenOverlap_Text,MaxSimilarity_EuclideanDistance_Text,AvgSimilarity_EuclideanDistance_Text,MaxSimilarity_BagOfWords_Cosine_Text,AvgSimilarity_BagOfWords_Cosine_Text,MaxSimilarity_DiceCoefficient_Text,AvgSimilarity_DiceCoefficient_Text,MaxSimilarity_OverlapCoefficient_Text,AvgSimilarity_OverlapCoefficient_Text,MaxSimilarity_Hamming_Text,AvgSimilarity_Hamming_Text
ZOOKEEPER-45,leveragingjit_ZooKeeper,1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ZOOKEEPER-53,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1951,0.1951,0.0000,0.0000,0.0000,0.0000,0.0058,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0315,0.0315,0.0000,0.0000,0.0000,0.0000,0.0039,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-68,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1571,0.1571,0.0000,0.0000,0.0000,0.0000,0.0040,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6172,0.6172,0.0186,0.0186,0.1246,0.1246,0.0000,0.0000,0.0183,0.0183,0.0016,0.0016,0.0692,0.0692,0.0366,0.0366,0.0968,0.0968,0.0000,0.0000
ZOOKEEPER-75,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2195,0.2195,0.0000,0.0000,0.0000,0.0000,0.0073,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4035,0.4035,0.0205,0.0205,0.0705,0.0705,0.0000,0.0000,0.0201,0.0201,0.0024,0.0024,0.0845,0.0845,0.0403,0.0403,0.1875,0.1875,0.0000,0.0000
ZOOKEEPER-97,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.2449,0.2449,0.0000,0.0000,0.0000,0.0000,0.0044,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7047,0.7047,0.0260,0.0260,0.1075,0.1075,0.0000,0.0000,0.0253,0.0253,0.0018,0.0018,0.1194,0.1194,0.0506,0.0506,0.1600,0.1600,0.0000,0.0000
ZOOKEEPER-105,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1607,0.1607,0.0000,0.0000,0.0000,0.0000,0.0046,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7303,0.7303,0.0142,0.0142,0.0479,0.0479,0.0000,0.0000,0.0140,0.0140,0.0029,0.0029,0.0666,0.0666,0.0280,0.0280,0.2000,0.2000,0.0000,0.0000
ZOOKEEPER-48,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1837,0.1837,0.0000,0.0000,0.0000,0.0000,0.0041,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1741,0.1741,0.0065,0.0065,0.0958,0.0958,0.0000,0.0000,0.0065,0.0065,0.0019,0.0019,0.0101,0.0101,0.0130,0.0130,0.0476,0.0476,0.0000,0.0000
ZOOKEEPER-42,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1951,0.1951,0.0000,0.0000,0.0000,0.0000,0.0046,0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2582,0.2582,0.0074,0.0074,0.0575,0.0575,0.0000,0.0000,0.0074,0.0074,0.0021,0.0021,0.0304,0.0304,0.0147,0.0147,0.3333,0.3333,0.0000,0.0000
ZOOKEEPER-44,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1707,0.1707,0.0000,0.0000,0.0000,0.0000,0.0041,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0244,0.0244,0.0000,0.0000,0.0000,0.0000,0.0787,0.0787,0.0000,0.0000,0.0000,0.0000,0.0021,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZOOKEEPER-108,leveragingjit_ZooKeeper,0.0,0.0000,0.0000,0.0000,0.0000,0.1463,0.1463,0.0000,0.0000,0.0000,0.0000,0.0044,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3086,0.3086,0.0132,0.0132,0.0979,0.0979,0.0000,0.0000,0.0130,0.0130,0.0019,0.0019,0.0230,0.0230,0.0260,0.0260,0.0952,0.0952,0.0000,0.0000
