Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
GROOVY;1;0634e1fe24df2b210c90f2155bd5f662d0860156;9;0;9;1.6171895725927152;99;77;0;2239;YES;5;6;1495;299;298.0;299;NO
GROOVY;1;24a4e257ab191187b875800959dd532950d5edbd;2;0;2;0.0;64;62;0;483;NO;5;1;1490;298;297.0;298;NO
GROOVY;1;7162b336611343876061a8874fd901ca1dd04d03;1;0;1;0.0;2;0;0;121;NO;5;0;1480;296;295.0;296;NO
GROOVY;1;e4a95579e50d91de6b3c1d5c4a2e554c896b82e3;1;0;1;0.0;2;0;0;121;NO;5;0;1475;295;294.0;295;NO
GROOVY;1;b29a552a53a420fc3107b7ebfaf0e0742779def2;1;0;1;0.0;121;121;0;0;NO;5;0;1470;294;293.0;294;NO
GROOVY;1;7038de91ca407b907c8a07c0e0b94e48ae1d4cc3;8;0;8;1.6783616384241284;544;253;25;1922;NO;5;11;1445;289;288.0;289;YES
GROOVY;1;79f50a10e7688279664146bb3c18837dada370a4;9;0;9;2.4464393446710155;148;128;0;1828;NO;5;32;1440;288;287.0;288;NO
GROOVY;1;c70f046c2079dfd675294c0e2ce97591b41d48d6;3;0;3;0.0;325;325;0;458;NO;5;14;1435;287;286.0;287;NO
GROOVY;1;91b2ff031b7ec5a18be5e680dccc904e17132a55;4;0;4;0.0;286;270;16;241;NO;5;37;1430;286;285.0;286;NO
GROOVY;1;257b9147034ce8b088a2b7294c43f5ba169eaa74;7;0;7;1.696156712582769;211;101;0;2222;NO;5;25;1425;285;284.0;285;NO
GROOVY;1;771d7cf29ae38ebd635cc431aa2a0d0c61c4c636;1;0;1;0.0;5;1;0;2221;NO;5;1;1420;284;283.0;284;NO
GROOVY;1;31bf41149559b20ec59397712eebf1f3c22cc4b6;2;0;2;1.0;4;0;0;963;NO;5;4;1415;283;282.0;283;NO
GROOVY;1;ce4adf7aa39413614de433d0c89cfb9d90d8a517;3;0;3;0.7219280948873623;39;26;3;949;NO;5;29;1390;278;277.0;278;NO
GROOVY;1;78ec5fbad52cfefd2ed004134640f52cdcd04224;1;0;1;0.0;18;4;0;86;NO;5;40;1385;277;276.0;277;NO
GROOVY;1;777b7900708442d36bbacd504494855fe1a0e79b;3;0;3;1.4162723469496845;229;85;0;308;NO;5;7;1375;275;274.0;275;YES
GROOVY;1;9063e6ec3341c131e1a97c4f83becc57577e4e1b;6;0;6;1.2635442407015733;111;53;0;2217;NO;5;3;1370;274;273.0;274;NO
