Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
MNG;1;34f9e44721aa8154bd46f6f563d3d6702c0fb2ba;1;2;2;0.8112781244591328;50;26;0;543;NO;10;1;4790;126;0.0;126;NO
MNG;1;47db74ddb071fb33c9716ff9c40bb853fbe80791;1;2;2;0.0;89;87;0;507;NO;10;0;4790;125;0.0;125;YES
MNG;1;ff25b2fec06e03f8f4d69d2cdc85186a0bf306c0;1;1;2;0.0;69;69;0;0;NO;10;0;4790;123;0.0;123;NO
MNG;1;793d10f7d2cbc84be0d3afd741dc84f9292f4f77;1;1;1;0.0;9;5;0;502;NO;10;1;4790;122;0.0;122;YES
MNG;1;f4ecf6bf0833b1cd57cdd9b9212220dc854189fd;4;4;6;1.3594181594848394;347;6;51;153;NO;10;59;4790;410;2.5;410;NO
MNG;1;31fbfc32ac309a23dfe0232a700435fb9bf4553e;1;1;1;0.0;4;0;0;94;NO;10;8;4790;408;2.5;408;NO
MNG;1;c7761703c8f2d57df5de26d6619fd4974964fbaf;1;1;1;0.0;7;1;0;221;NO;10;1;4790;402;2.5;402;NO
MNG;1;feed140e1fb00ca431204f088666f3a93e9ef298;1;1;1;0.0;10;0;4;418;NO;10;0;4790;401;2.5;401;NO
MNG;1;27b9286a40329c279bb457b04eae298bd955cb62;1;1;1;0.0;24;22;0;396;NO;10;3;4790;400;2.5;400;NO
MNG;1;664a916c1737ff64d3048ef3276b3f14561de0a4;1;1;1;0.0;4;4;0;391;NO;10;1;4790;399;2.5;399;NO
MNG;1;70a510917cf14f436e62dc5ea79e9b9961379397;1;2;2;1.0;10;6;0;262;NO;10;2;4790;398;2.5;398;YES
MNG;1;5653c7e402cbbeaa8b2f904d3160452362b54905;1;1;3;0.7408656862339817;238;114;0;492;NO;10;6;4790;120;0.0;120;YES
MNG;1;c4e097050259ddd311fc857f2f2d4022cbb799f4;1;1;1;0.0;2;0;0;138;NO;10;8;4790;394;2.5;394;NO
MNG;1;e69136dd018e0bf6e659b22da970a4e00a45ff82;1;1;1;0.0;1;1;0;117;NO;10;13;4790;391;2.5;391;NO
MNG;1;c613181f13f7abf7acfc45b0196b65a750fd6b17;1;1;2;0.0;782;391;391;391;NO;10;0;4790;386;2.5;386;YES
MNG;1;d23b13eb350ccda3984a748f017e91a9d941b9fc;1;1;1;0.0;391;0;391;391;NO;10;0;4790;385;2.5;385;NO
MNG;1;fbbe91ab1ba8d2fd5e524f3a78937a3907c2a241;1;1;1;0.0;391;391;0;0;NO;10;0;4790;384;2.5;384;NO
MNG;1;a7e2faccfafe028ea35d9a872c5cc7b32b958c7d;1;1;1;0.0;324;176;0;215;NO;10;7;4790;380;2.5;380;NO
MNG;1;20620b4e09d3ffc61c6381acdccc53c67e259966;3;4;4;0.18312206830137276;154;82;0;533;NO;10;4;4790;117;0.0;117;YES
MNG;1;8e1d7e3885b405ac56be005099b2f00f9292a94a;1;1;1;0.0;16;12;0;250;NO;10;0;4790;372;2.5;372;YES
MNG;1;b3b831ec31c01c88d1b909cb8991d1cf5d7cfa39;2;2;2;0.8812908992306927;26;6;0;125;NO;10;8;4790;370;2.5;370;NO
MNG;1;a9a41aaad44fb2b8ff3d505984a2f52411d226ac;1;1;1;0.0;2;0;0;433;NO;10;0;4790;137;9.0;137;NO
MNG;1;9d6fad725a49f36a7fd71e43658dd50cc62e62bb;8;10;15;3.269413115155145;238;101;7;746;NO;10;19;4790;369;2.5;369;YES
MNG;1;ddeee6f1d471747333d69f3cf09082966b926ce4;1;1;1;0.0;2;0;0;250;NO;10;0;4790;368;2.5;368;NO
MNG;1;30f07014a631736eff0ce22905ec15241f1fa14e;1;1;1;0.0;17;5;0;714;NO;10;1;4790;366;2.5;366;NO
MNG;1;2df54799519da8936dea66b85aaced65f55ca061;1;1;1;0.0;29;19;0;427;NO;10;1;4790;365;2.5;365;YES
MNG;1;935cda15da4c1cf6175fc6fa3e93b4124f66c0b9;1;2;2;0.9182958340544896;18;6;0;1206;NO;10;1;4790;364;2.5;364;NO
MNG;1;26ec2d757be4eff2f832bc237992b8457831f878;1;6;7;2.302841670172532;92;0;44;731;NO;10;3;4790;116;0.0;116;YES
MNG;1;a90fdae557a482451c679a2a984d285c8b5500d1;1;2;2;0.0;21;17;0;242;NO;10;3;4790;363;2.5;363;NO
MNG;1;fcb7a1c14bb3896ac64878bd722b553799984ba9;3;3;3;0.6685644431995964;50;0;18;533;NO;10;6;4790;115;0.0;115;YES
MNG;1;4862d0cf8ffdc412377a0dbde207d88a0708de4b;1;1;1;0.0;2;0;0;1206;NO;10;0;4790;114;0.0;114;NO
MNG;1;ba288cee61877182102ae1088043249b6edd221d;1;1;1;0.0;26;0;8;241;NO;10;0;4790;361;2.5;361;YES
MNG;1;3c6894e59c19b089647b513f2169b55a3e9696d5;1;1;1;0.0;2;0;0;1206;NO;10;0;4790;358;2.5;358;NO
MNG;1;2e3e41fddff7390d8947b3cef1c624df0a3f250e;2;5;7;1.494083579488318;297;197;4;1210;NO;10;0;4790;357;2.5;357;YES
MNG;1;1398ab68c43bcb81dfed2f0144568149f25500d7;3;5;5;0.9543095546405662;84;9;25;1210;NO;10;0;4790;356;2.5;356;YES
MNG;1;d4e2de64cf9bad182df68aea531cbd926f1096fd;1;1;1;0.0;6;6;0;207;NO;10;0;4790;355;2.5;355;NO
MNG;1;b48dce76896d3c4f81f9b0cc62efe5f42c0be8e5;1;1;1;0.0;107;27;0;678;NO;10;19;4790;353;2.5;353;YES
MNG;1;15dc3811c87b4aefa696cabaffade1a4b7462b11;1;1;1;0.0;2;0;0;1210;NO;10;0;4790;351;2.5;351;NO
MNG;1;54a8cea8634c208c24d148c17a83b36e385e2b62;1;2;2;0.9182958340544896;21;15;0;1195;NO;10;0;4790;350;2.5;350;NO
MNG;1;bab8d3fd909f5ba07ec58c6ecc29a1011c94f910;1;4;6;1.956891954228997;114;31;17;1205;NO;10;0;4790;349;2.5;349;NO
MNG;1;27363f855edeb3d9c01632502552c786656205f9;1;3;5;1.4046342668500857;385;134;35;1186;NO;10;0;4790;348;2.5;348;NO
MNG;1;baca1f7841edda1fb40bcc5e04429278b31ef9a7;2;4;4;0.35335933502142136;47;7;10;423;NO;10;30;4790;346;2.5;346;NO
MNG;1;0b06278758d2cfae5f1b121fb9447a4248864933;1;3;8;2.2359263506290326;57;29;0;433;NO;10;2;4790;112;0.0;112;NO
MNG;1;11d160b52dfda3d259c95684c82381b916528421;1;3;4;1.5663672668986361;187;13;120;1178;NO;10;10;4790;345;2.5;345;NO
MNG;1;f1bfd0c18bc4d96418b0c05535052efaaf391cdf;1;3;3;0.3809465857053901;89;13;22;1200;NO;10;40;4790;344;2.5;344;NO
MNG;1;db01ac85349c45345adee9e351e6c588c6595807;1;2;3;0.0;94;30;0;1186;NO;10;0;4790;343;2.5;343;NO
MNG;1;a5c95ef10e4fb60c32ac2eed355e9f3991f7b35b;1;2;2;0.9182958340544896;12;0;0;1186;NO;10;0;4790;342;2.5;342;NO
MNG;1;f5270e45f771b3ed497b4e1f6d0cf02aeb1be97a;1;4;6;0.546717536611747;1489;644;623;1805;NO;10;3;4790;341;2.5;341;YES
MNG;1;0cd1aec3ef9ca0d8a6c787468c0608fa387bd2d5;1;1;1;0.0;52;0;4;1809;NO;10;3;4790;340;2.5;340;NO
MNG;1;dc92832ad28e92b0369b5061d9844010f2524302;1;6;23;1.0162840907023694;967;394;327;427;NO;10;1;4790;111;0.0;111;NO
MNG;1;97eb92041ddba6d8379513968604fa39cdf57224;1;1;1;0.0;15;1;0;164;NO;10;16;4790;339;2.5;339;NO
MNG;1;49593155d0f4b5095519a5404e2c6d75389b5d83;1;1;1;0.0;8;0;0;1809;NO;10;0;4790;338;2.5;338;NO
MNG;1;441108375c3d2bb41da59c0cbacabb831165204b;1;1;1;0.0;31;0;5;1814;NO;10;1;4790;336;2.5;336;NO
