Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
NUTCH;1;b92dacafad2cb0e23fe2ecf3e592e8f136074cb7;1;0;1;0.0;2;0;0;96;NO;7;25;553;27;26.0;27;YES
NUTCH;1;f2503012087b4b6d56707e902965f82c3ae5dae9;1;3;5;0.0;822;822;0;0;NO;7;0;553;26;25.0;26;YES
NUTCH;1;29b406e810f49a28fcb2e88fdf947fda9b48fd86;1;0;1;0.0;27;25;0;617;NO;7;160;553;10;9.0;10;NO
NUTCH;1;c24db6446eb6351338abc3b2ec07b9fe1a8e1257;1;0;1;0.0;15;0;7;281;NO;7;67;553;25;24.0;25;YES
NUTCH;1;c316cc0957314c38be06287b36e572bf83bda82c;1;1;1;0.0;18;8;0;279;NO;7;91;553;24;23.0;24;YES
NUTCH;1;30142ce3e47e3a7cdb79f872dd7116bff2313367;3;2;3;1.584962500721156;7;0;1;188;NO;7;1;553;9;8.0;9;YES
NUTCH;1;60065873e482d66e7a3dfb25cfc66b995fcfa342;2;0;2;0.9456603046006402;31;9;0;326;NO;7;143;553;8;7.0;8;YES
NUTCH;1;83824735dab2208548c81a9996a486899672a2dc;1;0;1;0.0;8;0;0;255;NO;7;50;553;7;6.0;7;NO
NUTCH;1;b8af21b034705861dd221a354060ec276c57c80a;1;0;1;0.0;6;0;0;285;NO;7;50;553;6;5.0;6;NO
NUTCH;1;821ee0023e2c67d744b9f4fe119d7acbeaa6b211;1;0;1;0.0;2;0;0;87;NO;7;143;553;5;4.0;5;NO
NUTCH;1;d59b139f21011b6ac87b456ccc93c2a187dcd5ce;1;0;1;0.0;10;10;0;111;NO;7;0;553;4;3.0;4;NO
NUTCH;1;38dc9ab9e7920c3d0fb7a1b39bc99c88d71279e1;1;0;1;0.0;4;0;0;260;NO;7;98;553;3;2.0;3;NO
NUTCH;1;c2c1f0251164c6385c9d4cbbe78dd397544fb6b9;3;2;3;1.584962500721156;7;0;1;188;NO;7;80;553;2;1.0;2;YES
NUTCH;1;4b94d397dc828db1364898e0e9387246c72ba9fc;10;0;10;3.1068905956085184;35;0;5;133;NO;7;132;553;1;0.0;1;YES
NUTCH;1;492897c3d041476a953c2d1077d9481512a6838c;1;1;3;1.2685347577182178;134;27;41;425;NO;6;36;474;23;22.0;23;YES
