Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;1;4cd22d5ff1e552b1f0d4d93ef8fd0b023a774d94;2;2;2;0.8112781244591328;31;10;5;322;NO;13;11;1443;111;110.0;111;NO
QPID;1;134d9096c6b3db69c390df05032de6e1f34e0ebc;1;1;1;0.0;11;7;0;592;NO;13;12;1430;110;109.0;110;YES
QPID;1;8a5f143f1857d3a257908573b2cd6812d6b0d0a7;1;2;9;2.699513850319966;335;221;30;691;NO;13;5;1417;109;108.0;109;YES
QPID;1;da8bad1fad708256568481b1e4683eab5356e9dd;1;1;3;0.0;297;0;297;111;NO;13;4;1404;40;39.0;40;NO
QPID;1;85a227dc333a11c6243425cf66b88f3e3cd9456f;1;1;5;1.530920491687485;357;163;120;170;NO;13;4;1404;39;38.0;39;NO
QPID;1;8fd7b57947991d4fdf3424f1711b3dfc33cf7d60;1;1;4;1.9386343206902252;83;10;5;190;NO;13;4;1404;38;37.0;38;NO
QPID;1;779c3d9faac8d9a154074df6d95319381672f81f;1;1;1;0.0;53;33;0;304;NO;13;10;1404;108;107.0;108;YES
QPID;1;da098caab6533a1b58da13510739f7ccca6bc704;1;2;2;0.0;127;93;34;434;NO;13;4;1391;107;106.0;107;NO
QPID;1;5ca8dfad60086dd9363f79d979d72735b6d9e6fa;1;5;11;2.9771117716256628;989;19;202;872;NO;13;8;1378;8;7.0;8;YES
QPID;1;af4d8e836c0ff074f5e381e17b1bb567c63bc660;1;2;4;0.9182958340544896;220;214;0;1299;NO;13;1;1378;6;5.0;6;YES
QPID;1;f635a2d0422377698bcaf51370568e86a9d62b00;1;1;1;0.0;48;8;0;1291;NO;13;9;1378;106;105.0;106;NO
QPID;1;15e79d621c3c47bd027fe7fe3efa693a01e26d94;1;4;19;2.245057357457646;637;151;244;228;NO;13;5;1365;37;36.0;37;NO
QPID;1;cc917cee6b9e513afa15a9d0f8b9729f9f2f60ea;1;1;1;0.0;65;45;0;108;NO;13;5;1365;36;35.0;36;NO
QPID;1;b0b2a57ba3c3db54a8d21d374b3e5d783a93ed17;1;1;1;0.0;13;0;1;215;NO;13;1;1365;15;14.0;15;NO
QPID;1;811cfd3e64d36f0e3c4ebac71bf7bdecca8cdd83;1;1;1;0.0;22;14;0;361;NO;13;5;1365;105;104.0;105;YES
QPID;1;7c140ba27960c0b851cfb09be5993e07ac1428f6;1;1;1;0.0;2;0;0;147;NO;13;3;1352;104;103.0;104;NO
QPID;1;7aa3a14d653311a5352b51cf8c2f68608a3a97f1;1;1;3;0.7219280948873623;26;7;9;223;NO;13;2;1339;14;13.0;14;NO
QPID;1;0664acd3cbd75fe337e91a9268b8893fa1a0aa8d;1;1;2;0.9980008838722996;38;0;0;234;YES;13;0;1326;102;101.0;102;NO
QPID;1;f32c4fae81ec92991eb57938343d5cd3c53dba2f;1;1;1;0.0;55;5;0;867;NO;13;4;1313;101;100.0;101;YES
QPID;1;86cae75b02bba046dcc5191345d935fa7110bed2;1;1;1;0.0;3;0;1;302;NO;13;0;1300;100;99.0;100;NO
QPID;1;dce22229ecda3879eebcc6c2abdbcd0491fa108e;1;4;17;1.90020470625279;1042;976;2;680;NO;13;2;1287;99;98.0;99;YES
QPID;1;33d1a8bf73d252495c5021e8f430f84012bfd247;1;2;2;0.0;958;958;0;0;NO;13;0;1274;98;97.0;98;YES
QPID;1;6ea90b6f8c6aa2313c735149fbff6b6f67e88856;1;1;1;0.0;292;72;0;220;NO;13;1;1261;20;19.0;20;NO
QPID;1;b6467c35980d26c81a9bb875151c9b3d912323d9;31;0;31;0.0;6255;0;6255;1726;NO;13;8;1261;17;16.0;17;NO
QPID;1;40a369245fe1f71f59dadb1318a9ae01ec70ddc2;1;1;31;0.0;6255;6255;0;0;NO;13;0;1261;16;15.0;16;YES
QPID;1;7d6dfda5954b0b096de0328a7572348f2770687d;6;0;6;1.2669318332477721;539;349;4;1641;NO;13;8;1261;15;14.0;15;NO
QPID;1;1e187e262f2082c92e467e02ca6363e3ea4788f4;1;1;1;0.0;4;0;0;320;NO;13;2;1261;97;96.0;97;YES
QPID;1;f734f95f3df31810ef2a1f5abd955b2bcc2d1fe2;4;29;77;4.803880037425142;3834;370;1364;460;NO;13;0;1248;11;10.0;11;NO
QPID;1;6f3fbc6e525e9291bb00312f3e32d71c082baf60;5;9;15;2.8445312135726484;279;25;64;627;NO;13;0;1248;10;9.0;10;YES
QPID;1;df3dd68224a4703cd03a73cf1bcc3cfcfb3096e2;20;182;1060;0.0;126844;63422;63422;1291;NO;13;3;1248;9;8.0;9;YES
QPID;1;659814adb4d898223776895370a1b7eac62c0bad;1;1;2;0.8812908992306927;22;0;2;269;NO;13;5;1222;94;93.0;94;NO
QPID;1;1b298fecd1372f250b51bf2492cc3a7d3d99f725;1;1;1;0.0;14;0;12;639;NO;13;0;1209;93;92.0;93;NO
QPID;1;1fbde1df78f2e0388c0c40cbd43f54585103eb36;1;1;1;0.0;99;23;0;616;NO;13;5;1196;92;91.0;92;NO
QPID;1;323504822a4095ac22e08bae51915700aa873bb9;1;1;1;0.0;9;0;1;272;NO;13;5;1183;91;90.0;91;NO
