Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
TIKA;1;ae5915aa8fcc10f0dedb9a3454e42ff1f101ecc8;1;0;1;0.0;486;486;0;0;NO;6;0;432;72;71.0;72;YES
TIKA;1;1f2b7168893b8e7e3cb20aaf7992e057d449dd79;3;0;3;0.345117314944953;153;79;12;82;NO;6;50;426;71;70.0;71;NO
TIKA;1;2e18733f93866c5670c0af0d0b88262508882f8b;4;0;4;0.4689955935892812;123;103;0;142;NO;6;14;420;70;69.0;70;NO
TIKA;1;fa6bb7e3c92145d29cd97820718ece69fd6ffd62;6;0;6;1.3092966682370037;225;203;0;390;YES;6;38;414;69;68.0;69;NO
TIKA;1;0dd035b9be57a71ba23a29120f1e2153a3178b5b;2;0;2;0.0;234;234;0;0;NO;6;0;408;68;67.0;68;NO
TIKA;1;91913d37243cdab7a8a0c0de132b538ed6b0419e;9;0;9;2.9463549260288437;88;8;14;439;NO;6;40;402;67;66.0;67;NO
TIKA;1;c13e78df7c8cc562e1d1333f024ca9decadb7700;1;0;1;0.0;18;0;0;142;NO;6;5;390;24;23.0;24;NO
TIKA;1;5cbfe94b115934b04cea4954af97a4dbc1285393;2;0;2;0.0;240;142;12;104;NO;6;12;390;65;64.0;65;YES
TIKA;1;a01dcbe6552ab1a184544097575aa583ecbbe8cb;6;0;6;1.2108352239906035;338;0;50;416;NO;6;7;384;64;63.0;64;YES
TIKA;1;3be8f6ce5db19e18f1e81ecbef06f81e0c054a16;5;0;5;1.353411644158047;286;95;39;404;NO;6;1;378;63;62.0;63;YES
TIKA;1;4b126e887da913b559591eed21bebea8d48d2ae9;7;0;7;1.4549764065780018;714;134;200;479;NO;6;5;372;62;61.0;62;YES
TIKA;1;05b7bb7e19b9c3ca05077abecbf7b7a1d447cdca;3;0;3;1.0;32;9;19;480;NO;6;8;366;61;60.0;61;NO
TIKA;1;b1bcf42b9f21924419d6936ed555ba25e7080bd3;2;0;2;0.6098403047164004;107;10;57;470;NO;6;13;360;60;59.0;60;NO
TIKA;1;2291cab550a7e38671d3f56168dec462021df4f0;6;0;6;0.0;503;220;267;396;NO;6;7;354;14;13.0;14;NO
TIKA;1;5087833918ccb065d8f20743a3ef8d18164ab3ee;3;0;3;0.4854607607459134;142;0;104;447;NO;6;4;354;59;58.0;59;YES
TIKA;1;001e1f7ea84eeb74022f0339e0c1a3dac8263973;1;0;1;0.0;60;32;0;415;NO;6;3;342;57;56.0;57;NO
TIKA;1;9db6b38ae203a0099239ee56ebf07dd81a0871a8;1;0;1;0.0;65;29;0;386;NO;6;5;336;56;55.0;56;NO
TIKA;1;4c8f0b8fff933890990c336e40ff5a419d08321c;24;0;24;3.7004397181410926;726;352;348;254;NO;6;4;330;55;54.0;55;NO
TIKA;1;076d9ef2c5fbe274c4cfa0918f4de4ed92fc88f1;1;0;1;0.0;4;2;0;175;NO;6;1;324;13;12.0;13;NO
TIKA;1;a7d091baff278e65851ef2affcb3e34d509bb241;1;0;1;0.0;22;20;0;155;NO;6;0;324;12;11.0;12;NO
TIKA;1;91f76e672c7abf4c5d0644c2545f2f767e74674f;2;0;2;0.0;84;80;0;114;NO;6;4;324;11;10.0;11;NO
TIKA;1;579bee49c75df6f44d862418df4b5a58b84361e7;2;0;2;0.9906278388059155;808;0;0;261;NO;6;30;318;53;52.0;53;NO
TIKA;1;30d407243e1be2749002fabdebd79c700127d14a;1;0;1;0.0;36;18;0;199;NO;6;0;312;10;9.0;10;NO
TIKA;1;2b09facfdc45660389072848fbe2190ed64d1a23;2;0;2;0.8112781244591328;40;0;0;184;NO;6;2;312;9;8.0;9;NO
TIKA;1;2e72c038510afe2dbe6161fad63d0eacd32062a8;1;0;1;0.0;2;0;0;123;NO;6;0;312;8;7.0;8;NO
TIKA;1;fb3290dc726e752ba328330a1ff47780279a454d;1;0;1;0.0;5;0;1;124;NO;6;2;312;7;6.0;7;NO
TIKA;1;a73e6cc60fa0f5ff496fc80d054f3cc981947557;1;0;1;0.0;195;107;0;92;NO;6;1;312;6;5.0;6;NO
TIKA;1;bd68bd661d84ac33683916ae2d0b8651a51b11ca;1;0;1;0.0;5;5;0;87;NO;6;0;312;5;4.0;5;NO
TIKA;1;a8d1e675a2c18e67b534df31823214d8c917c07c;2;0;2;0.0;30;26;2;218;NO;6;0;312;4;3.0;4;NO
TIKA;1;9ffdd5470b4b66c62b21dac13cb278acf2cad48b;3;0;3;1.0;7;3;0;215;NO;6;8;312;3;2.0;3;NO
TIKA;1;580824e1088af50d5556e2a01d71311a42a74edc;6;0;6;1.8148493701198412;164;15;105;258;NO;5;4;260;52;51.0;52;YES
TIKA;1;e1da9a1fc19aa951fca916c850250ebb58eb8675;1;0;1;0.0;1;0;1;88;NO;5;0;255;51;50.0;51;NO
TIKA;1;800479155329ad38c8da37a8c04172bdbcec4a21;1;0;1;0.0;4;0;2;90;NO;5;0;245;49;48.0;49;NO
TIKA;1;703c4b0a74c831e4f763d697974284b9030b9576;2;0;2;0.0;267;267;0;0;NO;5;0;240;48;47.0;48;YES
TIKA;1;1d2e41f3ba58b437f0ee72ca3a4c2ce782421519;2;0;2;0.0;80;80;0;0;NO;5;0;235;47;46.0;47;NO
TIKA;1;b0a87ad5afe05da5087209062c229a53921ca3bf;1;0;1;0.0;2;0;0;94;NO;5;0;230;7;6.0;7;NO
TIKA;1;a328f9c6ad676d51c34c7dd8584bac72438f99dd;5;0;5;0.9709505944546686;214;163;41;222;NO;5;2;230;6;5.0;6;NO
TIKA;1;b12c01d9b56053554cec501aab0530f7f4352daf;2;0;2;0.0;54;52;0;386;NO;5;0;230;23;22.0;23;NO
TIKA;1;9477c5e4a38dbacf794b663c757617a8ee07432a;2;0;2;0.0;298;149;149;149;NO;5;1;230;22;21.0;22;NO
TIKA;1;9fce256813d12e7aeef73bfc6ed3896ad414dc24;8;0;8;1.9943062321142224;289;0;79;470;NO;5;7;230;46;45.0;46;NO
TIKA;1;1081cb5beded2bd1228de19f74c6349ca674afed;14;0;14;1.6182188251435012;1441;713;620;460;NO;5;0;225;45;44.0;45;YES
TIKA;1;e759bbbc8afcc8d490562eb08c14a10c509adc20;5;0;5;1.584962500721156;172;83;83;194;NO;5;0;220;44;43.0;44;NO
TIKA;1;3fb58b7b5dc6381b8bc717663ae7d3fd517394cd;32;0;32;0.0;3458;1727;1731;460;NO;5;9;215;43;42.0;43;NO
TIKA;1;70517c3648522b1fc3d1d3cb9f87e8f6e87753cb;1;0;1;0.0;138;36;0;89;NO;5;2;210;4;3.0;4;NO
TIKA;1;ee39fc8fb420f1b069f72445b2214b0dea26eee9;1;0;1;0.0;7;0;5;227;NO;5;1;210;42;41.0;42;NO
TIKA;1;d064cb2f7ffd58893e05e327144816ddee6842da;7;0;7;1.584962500721156;386;190;190;195;NO;5;2;205;41;40.0;41;NO
TIKA;1;c943f692982b70a43b4ddec37bc40e2a3de2d318;17;0;17;3.1674972957079177;667;422;5;258;NO;5;2;200;40;39.0;40;YES
TIKA;1;423f67e7e8671d01707e3188c6aeb694db224418;3;0;3;1.107784384952517;100;44;0;259;NO;5;3;195;8;7.0;8;NO
TIKA;1;e7d7a1c6227023f0d1b92f9c1eae15e0909b9ba2;1;0;1;0.0;6;0;0;258;NO;5;4;195;21;20.0;21;NO
TIKA;1;7d91d377a95febaaed68252bf7efaa3c2579db6f;2;0;2;0.0;111;95;0;47;NO;5;1;195;39;38.0;39;NO
TIKA;1;838fe5fc64d02bbab15e71131aca84a233558755;3;0;3;1.584962500721156;10;4;0;259;NO;5;3;190;7;6.0;7;NO
TIKA;1;54aa413c1fc4b02b1bcd90228e10bb2e91b30876;13;0;13;3.7004397181410926;143;13;0;469;YES;5;15;190;4;3.0;4;NO
TIKA;1;810b1d4d780ad045c2a40a5b51d3dc9aadc9fcca;2;0;2;0.5586293734521992;238;192;0;107;NO;5;2;185;37;36.0;37;NO
TIKA;1;aceff84889da091010bcd893809427428a8b68a6;10;0;10;1.9515799978607866;1013;377;544;466;NO;5;4;180;36;35.0;36;NO
TIKA;1;62e58ea2e8ccd2ef1a968349408c990914efa6b6;18;0;18;2.701076634275776;541;8;197;258;NO;5;0;175;35;34.0;35;NO
TIKA;1;58c236093a69b39dd98203eb92dc31db549eaf60;1;0;1;0.0;8;0;0;236;NO;5;0;170;34;33.0;34;NO
TIKA;1;d840df12cc825d49528d9492a4f49c8093e086bb;1;0;1;0.0;516;0;0;258;NO;5;0;165;33;32.0;33;YES
TIKA;1;6d37de9d208f1f7918df6f81a14a1d3b48a4d37f;18;0;18;1.9198202298722038;829;33;60;257;NO;5;1;160;32;31.0;32;NO
TIKA;1;f00e6fb40fea8bee7fd47643f25bf953de38b0ff;2;0;2;0.0;39;0;39;239;NO;5;6;155;31;30.0;31;NO
TIKA;1;dcd89751d244a8b7e17d63e2088ede4eed94d8fb;2;0;2;0.0;150;150;0;0;NO;5;0;150;30;29.0;30;NO
TIKA;1;ee2c3b90b736e3ccaeaf204a658e917b87d378df;13;0;13;2.9580674309463277;187;16;67;260;NO;5;6;145;29;28.0;29;NO
TIKA;1;aab5b10975f588398ff5dbb61174b0d9607d6618;1;0;1;0.0;6;6;0;71;NO;5;10;140;28;27.0;28;NO
TIKA;1;d4bb41f7968cb40d39f66b2c0430dde3eef2e618;9;0;9;2.6263533973081477;1613;0;1;260;YES;5;1;135;27;26.0;27;NO
TIKA;1;9a00212a62c01e658f7c780958582f970ae0a886;3;0;3;0.5033351638358825;428;89;1;219;NO;5;1;130;7;6.0;7;YES
TIKA;1;53d14c5d024a7d25a860123cf38c63fdbeeb16bf;2;0;2;0.9182958340544896;52;10;0;177;NO;5;0;130;6;5.0;6;NO
TIKA;1;a03498cc893044e1f4c01adbbfee13881b02f2db;8;0;8;2.0741647430225756;263;178;57;205;NO;5;1;130;5;4.0;5;NO
TIKA;1;701d4701b9ec9b523c687284f0f1a79bd8609d9d;2;0;2;0.0;45;33;0;206;NO;5;4;130;19;18.0;19;NO
TIKA;1;7bdb1c8dea70014b3528736755868c526dfcf834;7;0;7;2.1469303274816545;919;110;1;167;NO;5;5;130;4;3.0;4;NO
TIKA;1;c30bbcb8a5dfe9367777c00cf4b18d83020faefe;4;0;4;1.6913713779616086;391;8;191;266;NO;5;5;130;26;25.0;26;YES
TIKA;1;23c4dddb023ba23181b00d1eb752a61a297808b2;1;0;1;0.0;12;2;0;45;NO;5;3;125;2;1.0;2;NO
TIKA;1;6db2b1d5a1b556b6049ead3ee56ca01c46d0ba9c;1;0;1;0.0;15;15;0;147;NO;5;2;125;17;16.0;17;NO
TIKA;1;d3e678bf2c00961a33854ad3a0ecb0df7dd23b08;2;0;2;0.5586293734521992;52;0;6;218;YES;5;1;125;3;2.0;3;NO
TIKA;1;cfe3527af83d582d12a43a6f42ff30bd2d15a379;14;0;14;3.177181124037894;704;52;366;268;NO;5;0;125;25;24.0;25;YES
TIKA;1;522f4f3ac2aa2f25be83242fcd5f778d8105615f;14;0;14;3.5804718788337118;162;6;46;241;NO;5;0;115;23;22.0;23;NO
TIKA;1;6244bec006f1757753e29c543cf830104441f10d;10;0;10;2.9054812358708326;264;3;81;250;NO;5;1;110;22;21.0;22;YES
TIKA;1;4707526c2f2dc847c9031174f75f25ee94e54803;10;0;10;1.5;116;7;101;262;NO;5;0;105;21;20.0;21;NO
TIKA;1;bcc9f0c259a03c4195771bbcd443fd302db8eef6;1;0;1;0.0;2;0;0;160;NO;5;0;100;16;15.0;16;NO
TIKA;1;b2c0c6d2aa0b463e189766aa3d9865486abd5193;1;0;1;0.0;37;23;0;67;NO;5;0;100;20;19.0;20;NO
TIKA;1;83cb301f046cf5621e6e71bcd907fef52c491078;6;0;6;1.4854752972273344;290;15;255;277;NO;5;0;95;15;14.0;15;NO
TIKA;1;0c203842869b08afd0d3af2a899f6f6fc5cb0f4f;4;0;4;1.9182958340544896;14;0;2;160;NO;5;0;95;19;18.0;19;NO
TIKA;1;f8183f2dffaac516ea48fc3522c302fa4937b26c;9;0;9;1.2406705316766886;340;115;115;277;NO;5;0;90;18;17.0;18;NO
TIKA;1;033a07cf008dfaf63c2d4bb76bebf184f8b7a338;4;0;4;1.613147487673459;239;6;117;160;YES;5;0;85;17;16.0;17;NO
TIKA;1;32fda63e7bfb1722a3e35d717f68e3242a259c47;54;0;54;5.593993969422481;139;2;35;470;NO;5;21;80;14;13.0;14;NO
TIKA;1;9f4c38c25babaf67a94586e2255ec09aa76ea2b4;6;0;6;1.0394800429469842;642;320;134;159;NO;5;5;80;13;12.0;13;NO
TIKA;1;53f61c8270e23cba731fa7186ba597fcc1f454d6;1;0;1;0.0;1;0;1;177;NO;5;2;80;16;15.0;16;NO
TIKA;1;773fbd2a881bc8d81da0a7387fecb86cfb8f64b0;1;0;1;0.0;20;12;0;92;NO;5;0;75;12;11.0;12;NO
TIKA;1;64c1e0e7648f424272c47866ccf28bf6eb11d761;1;0;1;0.0;33;33;0;0;NO;5;0;75;11;10.0;11;NO
