buggy,Requirement ID,Project name,dataset,date,measurementDateName,DA_ACT,DA_CND,DA_CNT,DA_IMP,DA_INC,DA_OPT,DA_SRC,DA_WKP,EX_DIR,EX_VRB,EX_SBJ,EX_RDS,EX_ACD,EX_AMG,EX_ICP,EX_CNS,EX_ENT,IT_POL,IT_SUB,EX_COD,CM_NNS,CM_PNS,CM_ONS
"1","HBASE-10","HBASE","apachejit","2008-04-16","OneSecondBeforeFirstAssignmentDate","84","0","0","0","0","5","17","0","0","84","241","-10.36","0.06640316205533597","0","0","599","132","-0.04371843434343433","0.2697916666666667","True","0","0.0","0"
"0","HBASE-10001","HBASE","apachejit","2013-11-19","OneSecondBeforeFirstAssignmentDate","21","1","0","0","0","0","2","0","0","21","29","76.22","0.1810344827586207","0","0","96","1","0.24217687074829936","0.6180272108843538","False","0","0","0"
"1","HBASE-10005","HBASE","apachejit","2013-11-19","OneSecondBeforeFirstAssignmentDate","9","0","0","1","0","0","0","0","0","9","36","-93.54","0.06206896551724138","1","0","71","11","-0.2802083333333334","0.41562499999999997","True","0","0","0"
"1","HBASE-10007","HBASE","apachejit","2013-11-20","OneSecondBeforeFirstAssignmentDate","13","0","0","0","0","0","0","0","0","13","22","55.24","0.14130434782608695","1","0","81","0","0.12","0.43","False","0","0","0"
"0","HBASE-10008","HBASE","apachejit","2013-11-20","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","0","0","0","1","4","22","-19.33","0.046511627906976744","0","0","49","3","-0.075","0.3583333333333334","True","0","0","0"
"0","HBASE-10010","HBASE","apachejit","2013-11-20","OneSecondBeforeFirstAssignmentDate","5","0","0","0","0","1","0","0","0","5","13","64.0","0.09090909090909091","0","0","47","2","0.2822727272727273","0.5909090909090909","False","0","0","0"
"1","HBASE-10012","HBASE","apachejit","2013-11-20","OneSecondBeforeFirstAssignmentDate","8","1","0","0","0","0","0","0","0","8","13","77.74","0.1568627450980392","0","0","42","2","0.13636363636363635","0.45454545454545453","False","0","0","0"
"1","HBASE-10015","HBASE","apachejit","2013-11-21","OneSecondBeforeFirstAssignmentDate","22","1","0","3","0","1","0","0","0","22","43","64.51","0.11224489795918367","5","0","167","5","0.08244047619047619","0.5064285714285715","False","10","0.2702702702702703","1"
"1","HBASE-10018","HBASE","apachejit","2013-11-22","OneSecondBeforeFirstAssignmentDate","9","1","0","0","0","0","0","0","1","9","20","92.12","0.0989010989010989","0","0","71","6","0.1375","0.0625","False","0","0","0"
"1","HBASE-10020","HBASE","apachejit","2013-11-23","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","0","0","0","2","10","45.42","0.043478260869565216","0","0","27","0","0.0","1.0","True","0","0","0"
"0","HBASE-10021","HBASE","apachejit","2013-11-25","OneSecondBeforeFirstAssignmentDate","3","0","0","1","0","0","1","0","0","3","6","1.6","0.1","1","0","21","1","0.5","0.5","True","0","0","0"
"0","HBASE-10022","HBASE","apachejit","2013-11-25","OneSecondBeforeFirstAssignmentDate","2","0","0","0","0","0","1","0","0","2","3","-190.45","0.15384615384615385","0","0","8","0","0.0","0.0","False","0","0","0"
"0","HBASE-10023","HBASE","apachejit","2013-11-25","OneSecondBeforeFirstAssignmentDate","3","0","0","0","0","0","2","0","0","3","2","-124.8","0.2","0","0","10","2","0.0","0.0","False","0","0","0"
"1","HBASE-10024","HBASE","apachejit","2013-11-25","OneSecondBeforeFirstAssignmentDate","12","1","0","0","0","0","0","0","0","12","17","83.36","0.19047619047619047","0","0","53","1","0.0","0.0","False","0","0","0"
"0","HBASE-10035","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","0","0","0","0","0","0","0","0","0","0","3","48.47","0.0","0","0","6","1","0.0","1.0","False","0","0.0","0"
"0","HBASE-10036","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","0","0","0","0","0","0","0","0","0","0","2","56.93","0.0","0","0","6","1","0.0","1.0","False","0","0","0"
"0","HBASE-10037","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","2","31.55","0.14285714285714285","0","0","6","1","0.0","1.0","False","0","0","0"
"0","HBASE-10038","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","2","31.55","0.14285714285714285","0","0","6","1","0.0","1.0","False","0","0","0"
"0","HBASE-10039","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","1","0","0","0","0","0","0","0","0","1","2","48.47","0.14285714285714285","0","0","6","2","0.0","1.0","False","0","0","0"
"0","HBASE-10043","HBASE","apachejit","2013-11-26","OneSecondBeforeFirstAssignmentDate","0","0","0","0","0","0","0","0","0","0","3","-10.76","0.0","0","0","6","0","0.0","1.0","False","0","0","0"
"1","HBASE-10046","HBASE","apachejit","2013-11-27","OneSecondBeforeFirstAssignmentDate","22","1","0","0","0","1","0","0","0","22","36","49.11","0.12941176470588237","0","1","129","10","-0.125","0.49444444444444446","True","0","0","0"
"1","HBASE-10048","HBASE","apachejit","2013-11-27","OneSecondBeforeFirstAssignmentDate","4","0","0","0","0","1","0","0","0","4","7","70.8","0.125","1","0","27","0","0.5","0.5","False","0","0","0"
"1","HBASE-1005","HBASE","apachejit","2008-11-17","OneSecondBeforeFirstAssignmentDate","9","0","0","0","0","1","0","0","0","9","15","41.87","0.1232876712328767","0","0","55","7","0.11666666666666668","0.3666666666666667","False","0","0","0"
"0","HBASE-10053","HBASE","apachejit","2013-11-27","OneSecondBeforeFirstAssignmentDate","7","0","0","0","0","1","9","0","0","7","25","-224.5","0.056451612903225805","0","0","41","8","0.16666666666666666","0.6555555555555556","True","0","0","0"
"1","HBASE-10059","HBASE","apachejit","2013-12-02","OneSecondBeforeFirstAssignmentDate","70","0","0","0","0","0","35","0","0","70","263","-78.34","0.04827586206896552","0","0","554","98","-0.14107142857142857","0.4428571428571429","True","0","0","0"
"1","HBASE-10062","HBASE","apachejit","2013-12-02","OneSecondBeforeFirstAssignmentDate","24","2","0","0","0","2","9","0","0","24","34","54.63","0.12371134020618557","0","0","157","4","-0.0365079365079365","0.3626984126984127","True","0","0","0"
"0","HBASE-10066","HBASE","apachejit","2013-12-02","OneSecondBeforeFirstAssignmentDate","5","0","0","0","0","1","0","0","0","5","6","46.13","0.16129032258064516","2","0","25","1","-0.03333333333333335","0.5","False","0","0","0"
"0","HBASE-10069","HBASE","apachejit","2013-12-11","OneSecondBeforeFirstAssignmentDate","3","5","0","0","0","1","1","0","0","3","42","-2.41","0.01282051282051282","0","0","124","6","0.14048295454545454","0.6943181818181817","True","0","0","0"
"0","HBASE-10079","HBASE","apachejit","2013-12-05","OneSecondBeforeFirstAssignmentDate","26","0","0","0","0","2","5","0","2","26","46","70.7","0.1092436974789916","0","0","160","23","-0.17857142857142858","0.29935064935064926","False","4","0.18181818181818182","1"
"1","HBASE-1008","HBASE","apachejit","2009-05-01","OneSecondBeforeFirstAssignmentDate","7","0","0","0","0","0","0","0","0","7","16","77.74","0.09333333333333334","0","0","63","3","0.007272727272727269","0.5","False","3","0.2727272727272727","1"
"1","HBASE-10085","HBASE","apachejit","2013-12-05","OneSecondBeforeFirstAssignmentDate","16","2","1","1","0","0","0","0","0","16","39","25.86","0.06557377049180328","3","0","118","12","-0.10000000000000002","0.6","True","0","0","0"
